GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME,BTTRA,AMAXE001,AMAXE002,AMAXE003,AMAXE004,AMAXE005,AMAXE006,AMAXE007,AMAXE008,AMAXE009,AMAXE010,AMAXE011,AMAXE012,AMAXE013,AMAXE014,AMAXE015,AMAXE016,AMAXE017,AMAXE018,AMAXE019,AMAXE020,AMAXE021,AMAXE022,AMAXE023,AMAXE024,AMAXE025,AMAXE026,AMAXE027,AMAXE028,AMAXE029,AMAXE030,AMAXE031,AMAXE032,AMAXE033,AMAXE034,AMAXE035,AMAXE036,AMAXE037,AMAXE038,AMAXE039,AMAXE040,AMAXE041,AMAXE042,AMAXE043,AMAXE044,AMAXE045,AMAXE046,AMAXE047,AMAXE048,AMAXE049,AMAXE050,AMAXE051,AMAXE052,AMAXE053,AMAXE054,AMAXE055,AMAXE056,AMAXE057
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001","Autauga County, Alabama",,53555,25972,5541,107,1836,1460,1065,269,336,240,228,806,40,179,141,164,99,125,8,50,19625,625,138,53,0,308,1347,3218,13936,27583,5558,42,1417,1542,1057,448,397,317,338,1226,176,147,337,193,85,117,58,113,20799,402,97,67,95,29,1248,3215,15646
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",,206601,100342,17946,765,4230,6632,3261,802,838,860,558,4276,609,1080,916,867,243,259,181,121,78120,1420,273,165,176,1194,4448,10809,59635,106259,18616,204,4876,5465,3062,1684,1322,796,1207,4349,672,1191,850,801,177,285,197,176,83294,1790,408,234,59,505,3726,11099,65473
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005","Barbour County, Alabama",,24524,13004,2361,94,626,653,411,191,169,108,109,368,12,63,100,55,0,0,41,97,10275,173,36,17,4,66,772,2084,7123,11520,2183,70,753,587,349,139,138,58,89,238,11,76,16,95,2,0,17,21,9099,152,68,49,0,100,513,1334,6883
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007","Bibb County, Alabama",,21842,11737,1861,4,636,611,462,61,42,25,20,204,5,26,17,129,24,0,0,3,9672,279,12,0,9,155,582,2060,6575,10105,1766,18,461,501,327,84,161,152,62,275,111,80,3,38,18,9,0,16,8064,247,4,0,0,93,465,1039,6216
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009","Blount County, Alabama",,56026,27615,5631,168,1519,1867,1116,285,386,165,125,595,52,168,161,21,28,14,21,130,21389,650,47,64,114,414,1268,3191,15641,28411,5240,58,1300,1727,956,303,498,182,216,636,60,178,108,64,92,25,57,52,22535,789,378,107,62,167,1021,3223,16788
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011","Bullock County, Alabama",,9949,5432,1066,43,383,162,125,283,9,18,43,166,0,0,0,46,0,0,0,120,4200,78,0,54,61,19,326,800,2862,4517,734,80,173,293,162,0,5,3,18,81,0,11,38,0,23,0,0,9,3702,42,71,7,0,95,259,450,2778
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013","Butler County, Alabama",,19118,8865,1803,55,543,516,382,101,140,20,46,310,29,127,101,29,0,14,0,10,6752,158,31,11,7,121,413,1093,4918,10253,1693,62,521,443,332,118,83,44,90,233,3,42,100,42,33,0,0,13,8327,132,28,32,19,88,443,1182,6403
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",,110653,53087,11991,415,2936,3365,2161,1085,1091,507,431,1352,186,280,250,303,80,85,32,136,39744,599,240,7,4,472,2537,6850,29035,57566,11938,396,2578,3045,1774,1297,1429,902,517,1697,205,512,396,175,33,204,83,89,43931,842,73,86,159,204,2041,6755,33771
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017","Chambers County, Alabama",,32303,15378,2854,97,817,838,553,91,234,104,120,368,68,58,89,59,16,59,19,0,12156,123,72,11,16,187,855,1944,8948,16925,3129,113,640,981,464,183,387,117,244,456,41,94,75,99,5,51,50,41,13340,244,114,32,10,133,605,1894,10308
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019","Cherokee County, Alabama",,25068,12264,2224,3,630,712,483,149,105,37,105,98,0,54,16,6,11,11,0,0,9942,140,4,22,31,108,617,1189,7831,12804,2554,73,663,656,542,159,234,130,97,185,9,65,72,26,7,6,0,0,10065,127,38,11,27,49,328,1139,8346
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021","Chilton County, Alabama",,42567,20724,4470,99,1348,1244,999,301,229,122,128,286,20,129,72,65,0,0,0,0,15968,372,151,0,29,173,1071,2690,11482,21843,4827,200,1468,1201,864,229,372,125,368,387,48,70,116,37,0,28,70,18,16629,532,59,24,0,197,774,2775,12268
