GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ABDJE001,ABDJE002,ABDJE003,ABDJE004,ABDJE005,ABDJE006,ABDJE007,ABDJE008,NAME_M,ABDJM001,ABDJM002,ABDJM003,ABDJM004,ABDJM005,ABDJM006,ABDJM007,ABDJM008
"G0100010","2010-2014","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",54712,3242,3764,2402,2936,4272,2076,36020,"Autauga County, Alabama",139,623,888,623,811,1062,589,1483
"G0100030","2010-2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",188636,11086,14902,8372,10408,13144,5365,125359,"Baldwin County, Alabama",447,1546,2082,1355,1842,1611,1161,3387
"G0100050","2010-2014","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",24215,3004,2828,1557,1438,2389,1268,11731,"Barbour County, Alabama",288,580,463,376,302,543,357,700
"G0100070","2010-2014","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",21100,1243,2353,1849,1673,2301,704,10977,"Bibb County, Alabama",178,418,632,538,538,796,368,976
"G0100090","2010-2014","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57083,4103,5763,2769,4440,4011,1779,34218,"Blount County, Alabama",208,691,938,517,897,758,541,1388
"G0100110","2010-2014","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",10153,1147,938,956,792,1040,406,4874,"Bullock County, Alabama",246,414,308,435,264,438,227,491
"G0100130","2010-2014","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",20208,1881,3358,1771,1461,1657,515,9565,"Butler County, Alabama",147,424,502,351,322,321,164,548
"G0100150","2010-2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",114171,10622,14172,6837,6169,8903,3476,63992,"Calhoun County, Alabama",516,1295,1338,958,1043,1154,582,1764
"G0100170","2010-2014","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33653,3971,4080,2250,2404,2827,1042,17079,"Chambers County, Alabama",113,721,622,435,545,489,384,871
"G0100190","2010-2014","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",25554,1540,3830,1263,1620,2753,655,13893,"Cherokee County, Alabama",206,435,808,322,369,679,336,751
"G0100210","2010-2014","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",43290,3633,4495,3406,2432,3237,1107,24980,"Chilton County, Alabama",189,760,728,812,698,750,357,1126
"G0100230","2010-2014","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",13360,825,2042,724,646,1098,187,7838,"Choctaw County, Alabama",50,224,337,233,234,341,140,494
"G0100250","2010-2014","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",25008,3266,3491,1251,1179,1860,674,13287,"Clarke County, Alabama",147,598,591,393,340,347,285,718
"G0100270","2010-2014","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13296,968,1513,1049,1126,1393,714,6533,"Clay County, Alabama",134,305,399,300,278,374,306,589
"G0100290","2010-2014","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14828,1221,1470,523,652,1822,707,8433,"Cleburne County, Alabama",82,435,310,147,238,494,416,620
"G0100310","2010-2014","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",50064,3697,5706,2700,2429,3652,1481,30399,"Coffee County, Alabama",137,607,774,532,381,629,390,1043
"G0100330","2010-2014","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",53978,4150,5710,3339,3098,3883,1371,32427,"Colbert County, Alabama",154,751,1063,809,572,678,425,1252
"G0100350","2010-2014","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12928,1687,2569,1066,794,1000,535,5277,"Conecuh County, Alabama",58,457,556,433,299,284,293,556
"G0100370","2010-2014","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10953,949,1241,1019,1002,1266,231,5245,"Coosa County, Alabama",127,243,343,337,282,391,106,455
"G0100390","2010-2014","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",37232,2950,4529,2571,2276,3506,1082,20318,"Covington County, Alabama",187,508,697,542,431,591,273,867
"G0100410","2010-2014","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",13729,765,1593,978,1116,979,639,7659,"Crenshaw County, Alabama",139,216,344,256,317,291,212,536
"G0100430","2010-2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",79581,5301,9053,5558,4867,7672,2075,45055,"Cullman County, Alabama",228,908,1134,883,775,1077,466,1534
"G0100450","2010-2014","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",48674,3500,5614,2451,2450,2952,1257,30450,"Dale County, Alabama",261,483,800,532,564,525,369,944
"G0100470","2010-2014","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",42234,7843,7320,3064,2964,2607,1079,17357,"Dallas County, Alabama",171,1198,1143,600,741,592,407,1168
"G0100490","2010-2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",70247,5617,8511,4413,4954,6978,1869,37905,"DeKalb County, Alabama",172,1225,1256,907,940,1118,484,1702
"G0100510","2010-2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",74949,4098,5602,3141,3088,3887,2542,52591,"Elmore County, Alabama",998,814,972,726,723,655,587,1573
"G0100530","2010-2014","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",35742,4243,5066,2886,2937,3251,1230,16129,"Escambia County, Alabama",459,704,762,666,775,798,394,1057
"G0100550","2010-2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",102374,7456,12603,7042,6860,7716,3205,57492,"Etowah County, Alabama",358,839,1210,1064,983,817,648,1792
"G0100570","2010-2014","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",16766,1246,2246,1256,1181,1500,744,8593,"Fayette County, Alabama",119,288,408,349,352,351,268,646
"G0100590","2010-2014","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01059",,,"Franklin County, Alabama",31305,2824,4777,1938,1895,2399,1410,16062,"Franklin County, Alabama",139,647,907,702,486,580,478,1031
"G0100610","2010-2014","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01061",,,"Geneva County, Alabama",26437,2552,3431,2005,1373,2229,910,13937,"Geneva County, Alabama",150,495,575,366,304,528,319,833
"G0100630","2010-2014","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01063",,,"Greene County, Alabama",8750,1366,1838,1066,477,893,98,3012,"Greene County, Alabama",52,389,407,392,163,290,90,418
"G0100650","2010-2014","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01065",,,"Hale County, Alabama",15093,1848,2365,1036,1258,1135,225,7226,"Hale County, Alabama",121,410,477,303,325,272,110,526
"G0100670","2010-2014","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01067",,,"Henry County, Alabama",17057,770,1756,1284,578,1563,650,10456,"Henry County, Alabama",143,236,390,405,181,340,265,561
"G0100690","2010-2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01069",,,"Houston County, Alabama",101955,7998,10732,6603,6124,7840,3086,59572,"Houston County, Alabama",214,501,688,531,504,614,356,1043
"G0100710","2010-2014","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01071",,,"Jackson County, Alabama",52438,3385,6182,4613,3603,3595,1394,29666,"Jackson County, Alabama",162,537,874,903,663,667,423,1369
"G0100730","2010-2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01073",,,"Jefferson County, Alabama",644504,53068,67442,33847,30039,41856,17276,400976,"Jefferson County, Alabama",921,2517,2772,2350,1813,2843,1543,4334
"G0100750","2010-2014","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01075",,,"Lamar County, Alabama",14126,1098,2097,848,954,1560,741,6828,"Lamar County, Alabama",77,233,487,255,307,399,302,569
"G0100770","2010-2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01077",,,"Lauderdale County, Alabama",90763,8120,8824,4159,5526,6308,2553,55273,"Lauderdale County, Alabama",396,856,924,689,938,958,651,1713
"G0100790","2010-2014","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01079",,,"Lawrence County, Alabama",33558,1764,3987,1481,2681,2675,1316,19654,"Lawrence County, Alabama",132,395,711,322,723,576,310,939
"G0100810","2010-2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01081",,,"Lee County, Alabama",142200,17523,16102,7744,6561,9676,3226,81368,"Lee County, Alabama",511,1479,1414,1093,1087,1302,831,1961
"G0100830","2010-2014","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01083",,,"Limestone County, Alabama",83036,4004,7680,3716,3747,5633,2680,55576,"Limestone County, Alabama",1321,780,1025,754,835,842,678,1856
"G0100850","2010-2014","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01085",,,"Lowndes County, Alabama",10819,1458,1707,628,864,923,341,4898,"Lowndes County, Alabama",65,332,284,211,216,268,157,493
"G0100870","2010-2014","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01087",,,"Macon County, Alabama",18362,2458,2382,1461,1372,1891,397,8401,"Macon County, Alabama",280,437,408,319,355,399,130,499
"G0100890","2010-2014","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01089",,,"Madison County, Alabama",335298,19922,24973,15819,14091,18664,6715,235114,"Madison County, Alabama",1069,1503,1810,1850,1383,1536,1072,2765
"G0100910","2010-2014","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01091",,,"Marengo County, Alabama",20238,1985,3069,1442,1599,1255,593,10295,"Marengo County, Alabama",97,442,501,378,387,335,323,628
"G0100930","2010-2014","AL",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01093",,,"Marion County, Alabama",29613,2545,3193,2229,2395,2368,1248,15635,"Marion County, Alabama",297,536,520,490,526,489,358,899
"G0100950","2010-2014","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01095",,,"Marshall County, Alabama",93019,7178,11301,6891,6117,7609,3005,50918,"Marshall County, Alabama",213,1041,1263,943,959,943,558,1503
"G0100970","2010-2014","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01097",,,"Mobile County, Alabama",404297,35795,44617,24706,23537,29158,10930,235554,"Mobile County, Alabama",694,2307,2892,2397,2003,2054,1485,3181
"G0100990","2010-2014","AL",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01099",,,"Monroe County, Alabama",22261,3242,3254,1360,1373,2155,571,10306,"Monroe County, Alabama",116,622,755,541,350,469,255,825
"G0101010","2010-2014","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01101",,,"Montgomery County, Alabama",221215,22022,26553,12024,10750,15123,5271,129472,"Montgomery County, Alabama",845,1786,1655,1419,1341,1622,998,2163
"G0101030","2010-2014","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01103",,,"Morgan County, Alabama",118023,7109,10749,7026,6997,9314,3570,73258,"Morgan County, Alabama",472,1246,1305,1194,1054,1332,843,1920
"G0101050","2010-2014","AL",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01105",,,"Perry County, Alabama",9456,1432,2102,669,792,1182,233,3046,"Perry County, Alabama",177,385,543,270,365,427,198,414
"G0101070","2010-2014","AL",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01107",,,"Pickens County, Alabama",19265,2036,2893,1815,1051,1543,619,9308,"Pickens County, Alabama",141,469,630,419,283,357,281,568
"G0101090","2010-2014","AL",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01109",,,"Pike County, Alabama",31253,4865,3648,1971,1724,2218,989,15838,"Pike County, Alabama",316,704,529,504,374,489,340,907
"G0101110","2010-2014","AL",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01111",,,"Randolph County, Alabama",22122,2354,2837,1269,1189,1385,479,12609,"Randolph County, Alabama",186,613,531,438,383,361,240,800
"G0101130","2010-2014","AL",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01113",,,"Russell County, Alabama",56177,5272,7145,3751,3759,4783,1899,29568,"Russell County, Alabama",258,807,1091,892,824,853,526,1228
"G0101150","2010-2014","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115",,,"St. Clair County, Alabama",83101,6253,7110,4278,3645,5704,3447,52664,"St. Clair County, Alabama",401,1107,1236,966,882,914,837,1716
"G0101170","2010-2014","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117",,,"Shelby County, Alabama",198252,7205,9910,7140,6943,9506,4542,153006,"Shelby County, Alabama",500,1069,1194,1051,925,1059,810,1859
"G0101190","2010-2014","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119",,,"Sumter County, Alabama",12800,2290,2640,868,627,818,424,5133,"Sumter County, Alabama",183,513,513,237,206,265,229,539
"G0101210","2010-2014","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121",,,"Talladega County, Alabama",78119,6980,11273,4779,5206,5880,2692,41309,"Talladega County, Alabama",586,923,1433,777,913,745,744,1571
"G0101230","2010-2014","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123",,,"Tallapoosa County, Alabama",40673,3990,4599,2473,2963,3098,1286,22264,"Tallapoosa County, Alabama",184,663,847,544,678,661,407,1048
"G0101250","2010-2014","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125",,,"Tuscaloosa County, Alabama",188415,17155,17574,11322,9343,10385,5526,117110,"Tuscaloosa County, Alabama",707,1693,1561,1655,1335,1194,903,2507
"G0101270","2010-2014","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127",,,"Walker County, Alabama",65103,5414,9583,3685,3824,5716,2551,34330,"Walker County, Alabama",275,756,1293,553,576,782,748,1515
"G0101290","2010-2014","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129",,,"Washington County, Alabama",16889,717,1962,812,971,1569,520,10338,"Washington County, Alabama",136,266,384,271,334,464,186,624
"G0101310","2010-2014","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131",,,"Wilcox County, Alabama",11120,2544,1969,742,533,896,382,4054,"Wilcox County, Alabama",132,557,442,290,259,340,184,490
"G0101330","2010-2014","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133",,,"Winston County, Alabama",23680,1935,3362,1629,1539,2266,1114,11835,"Winston County, Alabama",228,343,566,443,517,489,441,813
