GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ALWVE001,ALWVE002,ALWVE003,ALWVE004,ALWVE005,ALWVE006,ALWVE007,ALWVE008,NAME_M,ALWVM001,ALWVM002,ALWVM003,ALWVM004,ALWVM005,ALWVM006,ALWVM007,ALWVM008
"G0100010","2015-2019","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",54922,3439,4901,2678,1818,2777,1422,37887,"Autauga County, Alabama",155,738,916,764,485,592,535,1392
"G0100030","2015-2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",209618,8483,13221,9048,7892,13337,7589,150048,"Baldwin County, Alabama",508,1431,1680,1539,1675,1733,1442,3237
"G0100050","2015-2019","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",22417,3372,3503,1458,1294,2054,567,10169,"Barbour County, Alabama",344,509,585,385,330,481,221,628
"G0100070","2015-2019","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",20632,1793,1947,908,1078,2230,771,11905,"Bibb County, Alabama",201,701,544,446,400,741,472,1110
"G0100090","2015-2019","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",57108,3726,4013,2985,3597,4741,1623,36423,"Blount County, Alabama",139,739,684,721,930,1088,527,1530
"G0100110","2015-2019","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",9784,1366,1459,282,537,1052,111,4977,"Bullock County, Alabama",205,522,669,166,319,529,124,658
"G0100130","2015-2019","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",19540,1252,3145,1317,1407,1366,638,10415,"Butler County, Alabama",108,348,576,386,448,396,272,660
"G0100150","2015-2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",111542,8241,11728,6814,5593,8895,3112,67159,"Calhoun County, Alabama",404,859,1258,1021,812,1223,670,1898
"G0100170","2015-2019","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",33103,2193,3518,2147,2014,3422,908,18901,"Chambers County, Alabama",177,480,665,486,497,649,278,962
"G0100190","2015-2019","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",25571,1136,2424,2438,1584,2220,792,14977,"Cherokee County, Alabama",95,317,536,652,489,627,265,846
"G0100210","2015-2019","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",43430,3122,5180,2874,2471,3793,882,25108,"Chilton County, Alabama",254,656,1081,706,710,978,297,1246
"G0100230","2015-2019","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",12712,1112,1856,611,866,1274,305,6688,"Choctaw County, Alabama",104,310,357,299,270,408,186,578
"G0100250","2015-2019","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",23628,2844,2640,1228,1489,2154,458,12815,"Clarke County, Alabama",142,610,631,442,456,538,172,848
"G0100270","2015-2019","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01027",,,"Clay County, Alabama",13049,665,1677,789,1203,956,524,7235,"Clay County, Alabama",89,243,397,410,459,378,251,669
"G0100290","2015-2019","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01029",,,"Cleburne County, Alabama",14644,716,1815,631,794,1499,363,8826,"Cleburne County, Alabama",146,238,448,268,244,361,118,510
"G0100310","2015-2019","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01031",,,"Coffee County, Alabama",50898,3262,4408,2139,2106,3906,1056,34021,"Coffee County, Alabama",147,535,620,479,461,587,246,872
"G0100330","2015-2019","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01033",,,"Colbert County, Alabama",54248,3071,5319,1933,2989,4903,1768,34265,"Colbert County, Alabama",130,571,747,458,665,870,501,1116
"G0100350","2015-2019","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01035",,,"Conecuh County, Alabama",12283,1271,890,725,1398,1453,782,5764,"Conecuh County, Alabama",120,426,366,257,549,518,495,613
"G0100370","2015-2019","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01037",,,"Coosa County, Alabama",10353,498,901,706,724,775,405,6344,"Coosa County, Alabama",139,261,304,256,312,222,215,583
"G0100390","2015-2019","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01039",,,"Covington County, Alabama",36348,3159,3597,1759,2318,3018,1289,21208,"Covington County, Alabama",190,497,567,320,565,510,294,981
"G0100410","2015-2019","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01041",,,"Crenshaw County, Alabama",13623,811,1254,978,917,1239,277,8147,"Crenshaw County, Alabama",93,219,323,312,255,309,135,471
"G0100430","2015-2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01043",,,"Cullman County, Alabama",81597,5589,6544,3693,4428,7518,3424,50401,"Cullman County, Alabama",242,846,853,600,779,1309,1049,1719
"G0100450","2015-2019","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01045",,,"Dale County, Alabama",47739,3894,4530,2502,3020,4042,1772,27979,"Dale County, Alabama",357,772,809,523,608,703,420,1436
"G0100470","2015-2019","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01047",,,"Dallas County, Alabama",38546,4879,6325,2701,1895,3416,1723,17607,"Dallas County, Alabama",173,838,1061,601,464,615,631,957
"G0100490","2015-2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01049",,,"DeKalb County, Alabama",70355,5754,9079,5242,5854,5721,2503,36202,"DeKalb County, Alabama",196,1169,1260,1039,1032,801,574,1521
"G0100510","2015-2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01051",,,"Elmore County, Alabama",76637,3258,5562,3514,2478,5001,1080,55744,"Elmore County, Alabama",336,796,1110,987,598,1048,437,1856
"G0100530","2015-2019","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01053",,,"Escambia County, Alabama",34089,3929,3622,2258,2286,2942,1072,17980,"Escambia County, Alabama",324,774,680,531,640,638,336,1015
"G0100550","2015-2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01055",,,"Etowah County, Alabama",101346,6338,11287,5977,4876,8203,2726,61939,"Etowah County, Alabama",267,769,1085,1107,712,996,653,1756
"G0100570","2015-2019","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01057",,,"Fayette County, Alabama",16182,1507,1639,1003,1078,1595,477,8883,"Fayette County, Alabama",104,390,363,311,288,402,240,772
